Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
27/11/2014 05:29,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,10
27/11/2014 05:30,0,2,00:02,Turbine operational,1,FALSE,FALSE,11.7
27/11/2014 05:32,0,1,00:01,Turbine starting,1,FALSE,FALSE,12.2
27/11/2014 05:34,0,0,00:00,Turbine in operation,1,FALSE,FALSE,9.3
27/11/2014 08:50,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,13.1
27/11/2014 08:50,0,2,00:02,Turbine operational,1,FALSE,FALSE,15.9
27/11/2014 08:53,0,1,00:01,Turbine starting,1,FALSE,FALSE,14.7
27/11/2014 08:54,0,0,00:00,Turbine in operation,1,FALSE,FALSE,13.4
27/11/2014 09:23,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,14.6
27/11/2014 09:24,0,2,00:02,Turbine operational,1,FALSE,FALSE,8.6
27/11/2014 09:26,0,1,00:01,Turbine starting,1,FALSE,FALSE,13
27/11/2014 09:27,0,0,00:00,Turbine in operation,1,FALSE,FALSE,14.2
27/11/2014 13:25,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,10.2
27/11/2014 13:25,0,2,00:02,Turbine operational,1,FALSE,FALSE,7.8
27/11/2014 13:28,0,1,00:01,Turbine starting,1,FALSE,FALSE,9.2
27/11/2014 13:29,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.6
27/11/2014 14:02,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,16
27/11/2014 14:03,0,2,00:02,Turbine operational,1,FALSE,FALSE,13.4
27/11/2014 14:05,0,1,00:01,Turbine starting,1,FALSE,FALSE,11.5
27/11/2014 14:06,0,0,00:00,Turbine in operation,1,FALSE,FALSE,17.6
27/11/2014 14:21,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,14.6
27/11/2014 14:21,0,2,00:02,Turbine operational,1,FALSE,FALSE,18
